Description,TotalQuantity,TotalRevenue,TotalOrders,AvgMonthlyDemand,ReorderPoint,InventoryStatus
CHILDREN'S APRON DOLLY GIRL ,2621,5266.28,339,104.84,157.26,High Demand
CHILDREN'S CIRCUS PARADE MUG,1316,2129.08,117,52.64,78.96000000000001,Medium Demand
CHILDREN'S SPACEBOY MUG,1804,2937.56,186,72.16,108.24,Medium Demand
CHILDRENS APRON APPLE DESIGN,290,520.5,25,11.6,17.4,Low Demand
CHILDRENS APRON APPLES DESIGN,2714,5106.2,349,108.56,162.84,High Demand
CHILDRENS APRON DOLLY GIRL ,103,216.3,15,4.12,6.18,Low Demand
CHILDRENS APRON SPACEBOY DESIGN,5523,10252.89,714,220.92,331.38,High Demand
CHILDRENS CIRCUS PARADE MUG,36,59.400000000000006,3,1.44,2.16,Low Demand
CHILDRENS CUTLERY CIRCUS PARADE,963,3856.59,143,38.52,57.78,Medium Demand
CHILDRENS CUTLERY DOLLY GIRL ,1628,6554.6,268,65.12,97.68,Medium Demand
CHILDRENS CUTLERY POLKADOT BLUE,2524,9831.4,211,100.96,151.44,High Demand
CHILDRENS CUTLERY POLKADOT GREEN ,1688,6599.06,166,67.52,101.28,Medium Demand
CHILDRENS CUTLERY POLKADOT PINK,3530,13796.6,323,141.2,211.79999999999998,High Demand
CHILDRENS CUTLERY RETROSPOT RED ,2492,9603.68,229,99.68,149.52,Medium Demand
CHILDRENS CUTLERY SPACEBOY ,1982,7974.38,316,79.28,118.92,Medium Demand
CHILDRENS DOLLY GIRL MUG,1653,2672.4900000000002,163,66.12,99.18,Medium Demand
CHILDRENS GARDEN GLOVES BLUE,1748,2159.16,232,69.92,104.88,Medium Demand
CHILDRENS GARDEN GLOVES PINK,1757,2165.85,240,70.28,105.42,Medium Demand
CHILDRENS SPACEBOY MUG,96,158.4,5,3.84,5.76,Low Demand
CHILDRENS TOY COOKING UTENSIL SET,680,1371.48,122,27.2,40.8,Medium Demand
CHILDS APRON SPACEBOY DESIGN,2256,4191.9,289,90.24,135.35999999999999,Medium Demand
CHILDS BREAKFAST SET CIRCUS PARADE,1611,13100.58,460,64.44,96.66,Medium Demand
CHILDS BREAKFAST SET DOLLY GIRL ,1630,15106.35,450,65.2,97.80000000000001,Medium Demand
CHILDS BREAKFAST SET SPACEBOY ,1665,15387.9,464,66.6,99.89999999999999,Medium Demand
CHILDS GARDEN BRUSH BLUE,1320,2548.98,201,52.8,79.19999999999999,Medium Demand
CHILDS GARDEN BRUSH PINK,1334,2584.38,203,53.36,80.03999999999999,Medium Demand
CHILDS GARDEN FORK BLUE ,2192,1821.08,307,87.68,131.52,Medium Demand
CHILDS GARDEN FORK PINK,2131,1791.07,313,85.24,127.85999999999999,Medium Demand
CHILDS GARDEN RAKE BLUE,799,1517.88,126,31.96,47.94,Medium Demand
CHILDS GARDEN RAKE PINK,779,1472.88,125,31.16,46.74,Medium Demand
CHILDS GARDEN SPADE BLUE,1034,2003.88,193,41.36,62.04,Medium Demand
CHILDS GARDEN SPADE PINK,997,1923.18,166,39.88,59.82000000000001,Medium Demand
CHILDS GARDEN TROWEL BLUE ,2186,1840.9399999999998,327,87.44,131.16,Medium Demand
CHILDS GARDEN TROWEL PINK,2209,1857.37,324,88.36,132.54,Medium Demand
CHILLI LIGHTS,15735,72860.14,922,629.4,944.0999999999999,High Demand
CHINESE DRAGON PAPER LANTERNS,15559,5069.48,196,622.36,933.54,High Demand
CHOC TRUFFLE GOLD TRINKET POT ,1813,2796.33,180,72.52,108.78,Medium Demand
CHOCOLATE 1 WICK MORRIS BOX CANDLE,602,1551.56,79,24.08,36.12,Medium Demand
CHOCOLATE 3 WICK MORRIS BOX CANDLE,928,2293.12,98,37.12,55.67999999999999,Medium Demand
CHOCOLATE BOX RIBBONS ,3830,4656.75,459,153.2,229.79999999999998,High Demand
CHOCOLATE CALCULATOR,3053,4928.93,281,122.12,183.18,High Demand
CHOCOLATE HOT WATER BOTTLE,10326,47555.840000000004,1447,413.04,619.5600000000001,High Demand
CHOCOLATE ICE CREAM CANDLE,2,3.9,1,0.08,0.12,Low Demand
CHOCOLATE THIS WAY METAL SIGN,9570,18394.640000000003,801,382.8,574.2,High Demand
CHRISTMAS CARD SCREEN PRINT ,2136,593.16,92,85.44,128.16,Medium Demand
CHRISTMAS CARD SINGING ANGEL,1709,612.9,96,68.36,102.53999999999999,Medium Demand
CHRISTMAS CARD STACK OF PRESENTS,1969,562.02,85,78.76,118.14000000000001,Medium Demand
CHRISTMAS CRAFT HEART DECORATIONS,422,838.2,53,16.88,25.32,Low Demand
CHRISTMAS CRAFT HEART STOCKING ,1294,2637.4,169,51.76,77.64,Medium Demand
CHRISTMAS CRAFT LITTLE FRIENDS,4475,9171.300000000001,535,179.0,268.5,High Demand
CHRISTMAS CRAFT TREE TOP ANGEL,3141,6419.38,434,125.64,188.46,High Demand
CHRISTMAS CRAFT WHITE FAIRY ,4198,5898.54,429,167.92,251.88,High Demand
CHRISTMAS DECOUPAGE CANDLE,2410,1264.96,106,96.4,144.60000000000002,Medium Demand
"CHRISTMAS GARLAND STARS,TREES",816,2065.0,79,32.64,48.96,Medium Demand
CHRISTMAS GINGHAM HEART,6556,5347.96,309,262.24,393.36,High Demand
CHRISTMAS GINGHAM STAR,5421,4528.29,311,216.84,325.26,High Demand
CHRISTMAS GINGHAM TREE,4530,3810.72,290,181.2,271.79999999999995,High Demand
CHRISTMAS HANGING HEART WITH BELL,1756,2167.64,132,70.24,105.35999999999999,Medium Demand
CHRISTMAS HANGING SNOWFLAKE,486,421.02000000000004,44,19.44,29.160000000000004,Low Demand
CHRISTMAS HANGING STAR WITH BELL,6421,3783.35,241,256.84,385.26,High Demand
CHRISTMAS HANGING TREE WITH BELL,2892,2231.83,148,115.68,173.52,High Demand
CHRISTMAS LIGHTS 10 REINDEER,2568,20279.4,406,102.72,154.07999999999998,High Demand
CHRISTMAS LIGHTS 10 SANTAS ,1224,9278.45,217,48.96,73.44,Medium Demand
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,2461,11350.130000000001,286,98.44,147.66,Medium Demand
CHRISTMAS METAL POSTCARD WITH BELLS,4227,2865.53,102,169.08,253.62,High Demand
CHRISTMAS METAL TAGS ASSORTED ,7555,6183.31,278,302.2,453.29999999999995,High Demand
CHRISTMAS MUSICAL ZINC HEART ,1715,1354.79,92,68.6,102.89999999999999,Medium Demand
CHRISTMAS MUSICAL ZINC STAR,2577,1387.49,131,103.08,154.62,High Demand
CHRISTMAS MUSICAL ZINC TREE,1571,887.13,93,62.84,94.26,Medium Demand
CHRISTMAS PUDDING TRINKET POT ,8380,5609.0199999999995,333,335.2,502.79999999999995,High Demand
CHRISTMAS RETROSPOT ANGEL WOOD,5053,4126.57,330,202.12,303.18,High Demand
CHRISTMAS RETROSPOT HEART WOOD,4461,3573.45,241,178.44,267.65999999999997,High Demand
CHRISTMAS RETROSPOT STAR WOOD,4665,3853.71,345,186.6,279.9,High Demand
CHRISTMAS RETROSPOT TREE WOOD,4014,3294.9,301,160.56,240.84,High Demand
CHRISTMAS STAR WISH LIST CHALKBOARD,6120,5898.32,402,244.8,367.20000000000005,High Demand
CHRISTMAS TABLE CANDLE SILVER SPIKE,16,13.28,1,0.64,0.96,Low Demand
CHRISTMAS TABLE SILVER CANDLE SPIKE,1606,1303.54,74,64.24,96.35999999999999,Medium Demand
CHRISTMAS TOILET ROLL,6681,7833.110000000001,412,267.24,400.86,High Demand
CHRISTMAS TREE DECORATION WITH BELL,2056,863.52,80,82.24,123.35999999999999,Medium Demand
CHRISTMAS TREE HANGING GOLD,776,690.64,64,31.04,46.56,Medium Demand
CHRISTMAS TREE HANGING SILVER ,747,671.77,67,29.88,44.82,Medium Demand
CHRISTMAS TREE HEART DECORATION,2579,1083.1799999999998,99,103.16,154.74,High Demand
CHRISTMAS TREE PAINTED ZINC ,3333,1251.79,102,133.32,199.98,High Demand
CHRISTMAS TREE STAR DECORATION,2717,1141.1399999999999,101,108.68,163.02,High Demand
CHRISTMAS TREE T-LIGHT HOLDER,409,593.05,41,16.36,24.54,Low Demand
CHRYSANTHEMUM  JOURNAL,573,1077.46,112,22.92,34.38,Medium Demand
CHRYSANTHEMUM NOTEBOOK,3532,1027.8,94,141.28,211.92000000000002,High Demand
CHRYSANTHEMUM POCKET BOOK ,5739,867.75,44,229.56,344.34000000000003,High Demand
CHRYSANTHEMUM SKETCHBOOK ,415,1142.29,120,16.6,24.900000000000002,Low Demand
CHUNKY CRACKED GLAZE NECKLACE IVORY,6,64.5,1,0.24,0.36,Low Demand
CHUNKY SILVER NECKLACE PASTEL FLOWE,75,746.25,38,3.0,4.5,Low Demand
CINAMMON & ORANGE WREATH,1019,3227.05,135,40.76,61.14,Medium Demand
CINAMMON SET OF 9 T-LIGHTS,1951,1652.11,286,78.04,117.06,Medium Demand
CINDERELLA CHANDELIER ,220,3617.6000000000004,22,8.8,13.200000000000001,Low Demand
CINNAMON SCENTED VOTIVE CANDLE,2191,581.6299999999999,66,87.64,131.46,Medium Demand
CIRCLE OF FRIENDS CANDLE HOLDER,295,344.25,28,11.8,17.700000000000003,Low Demand
CIRCUS PARADE BABY GIFT SET,285,4444.75,89,11.4,17.1,Low Demand
CIRCUS PARADE CHILDRENS EGG CUP ,1183,1483.59,118,47.32,70.98,Medium Demand
CIRCUS PARADE LUNCH BOX ,5922,10891.279999999999,468,236.88,355.32,High Demand
CIRCUS PARADE LUNCHBOX ,1,1.95,1,0.04,0.06,Low Demand
CITRONELLA CANDLE FLOWERPOT,2613,4573.05,325,104.52,156.78,High Demand
CITRONELLA CANDLE GARDEN POT,3396,3756.12,322,135.84,203.76,High Demand
CITRUS GARLAND FELT FLOWERS ,181,352.95,47,7.24,10.86,Low Demand
CLAM SHELL LARGE,748,580.2,17,29.92,44.88,Medium Demand
CLAM SHELL SMALL ,332,638.89,56,13.28,19.919999999999998,Low Demand
CLASSIC BICYCLE CLIPS ,1591,2205.95,86,63.64,95.46000000000001,Medium Demand
CLASSIC CAFE SUGAR DISPENSER,2634,3038.35,208,105.36,158.04,High Demand
CLASSIC CHROME BICYCLE BELL ,2454,3435.7,170,98.16,147.24,Medium Demand
CLASSIC CROME BICYCLE BELL ,60,77.4,2,2.4,3.5999999999999996,Low Demand
CLASSIC DIAMANTE EARRINGS JET,7,20.650000000000002,2,0.28,0.42000000000000004,Low Demand
CLASSIC DIAMANTE NECKLACE JET,5,37.5,3,0.2,0.30000000000000004,Low Demand
CLASSIC FRENCH STYLE BASKET BROWN,344,1564.44,93,13.76,20.64,Low Demand
CLASSIC FRENCH STYLE BASKET GREEN ,481,2388.35,132,19.24,28.86,Low Demand
CLASSIC FRENCH STYLE BASKET NATURAL,678,3233.62,152,27.12,40.68,Medium Demand
CLASSIC GLASS COOKIE JAR,1334,5358.5,248,53.36,80.03999999999999,Medium Demand
CLASSIC GLASS SWEET JAR,119,479.45,14,4.76,7.14,Low Demand
CLASSIC METAL BIRDCAGE PLANT HOLDER,1727,18185.06,383,69.08,103.62,Medium Demand
CLASSIC SUGAR DISPENSER,216,247.32,12,8.64,12.96,Low Demand
CLASSIC WHITE FRAME,1031,3017.4500000000003,197,41.24,61.86,Medium Demand
CLASSICAL ROSE CANDLESTAND,535,481.55,27,21.4,32.099999999999994,Medium Demand
CLASSICAL ROSE DISH,283,528.85,38,11.32,16.98,Low Demand
CLASSICAL ROSE SMALL VASE,598,1072.5,64,23.92,35.88,Medium Demand
CLASSICAL ROSE TABLE LAMP,14,103.3,4,0.56,0.8400000000000001,Low Demand
CLASSICAL ROSE URN,94,372.3,17,3.76,5.64,Low Demand
CLEAR ACRYLIC FACETED BANGLE,98,220.10000000000002,17,3.92,5.88,Low Demand
CLEAR COLOUR GLASS GEMS IN BAG,518,344.53999999999996,19,20.72,31.08,Medium Demand
CLEAR CRYSTAL STAR PHONE CHARM,200,150.44,18,8.0,12.0,Low Demand
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6809,8244.61,382,272.36,408.54,High Demand
CLEAR LOVE BIRD T-LIGHT HOLDER,102,316.61,14,4.08,6.12,Low Demand
CLEAR MILKSHAKE GLASS,463,907.5,41,18.52,27.78,Low Demand
CLEAR STATIONERY BOX SET ,82,69.69999999999999,24,3.28,4.92,Low Demand
CLOCK MAGNET MUM'S KITCHEN,304,837.88,40,12.16,18.240000000000002,Low Demand
CLOTHES PEGS RETROSPOT PACK 24 ,13869,19029.01,1017,554.76,832.14,High Demand
COCKLE SHELL DISH,426,707.08,58,17.04,25.56,Low Demand
COCKTAIL SWORDS 50 PIECES,900,706.08,68,36.0,54.0,Medium Demand
COFFEE MUG APPLES DESIGN,5323,12213.1,480,212.92,319.38,High Demand
COFFEE MUG BLUE PAISLEY DESIGN,2376,4572.41,142,95.04,142.56,Medium Demand
COFFEE MUG CAT + BIRD DESIGN,4863,11162.79,466,194.52,291.78000000000003,High Demand
COFFEE MUG DOG + BALL DESIGN,4025,9281.49,411,161.0,241.5,High Demand
COFFEE MUG PEARS  DESIGN,4815,10061.26,352,192.6,288.9,High Demand
COFFEE MUG PINK PAISLEY DESIGN,2254,4621.0,126,90.16,135.24,Medium Demand
COFFEE SCENT PILLAR CANDLE,533,506.34999999999997,93,21.32,31.98,Medium Demand
COGNAC AUX OEUFS METAL 1 HOOK,31,38.75,11,1.24,1.8599999999999999,Low Demand
COLOUR GLASS T-LIGHT HOLDER HANGING,39643,23848.11,1100,1585.72,2378.58,High Demand
COLOUR GLASS. STAR T-LIGHT HOLDER,14492,41555.54,644,579.68,869.52,High Demand
COLOURED GLASS STAR T-LIGHT HOLDER,997,3478.8300000000004,42,39.88,59.82000000000001,Medium Demand
COLOURFUL FISHING GNOME,285,844.5500000000001,36,11.4,17.1,Low Demand
COLOURFUL FLOWER FRUIT BOWL,21,85.0,15,0.84,1.26,Low Demand
COLOURFUL STANDING GNOME,707,1119.15,39,28.28,42.42,Medium Demand
COLOURING PENCILS BROWN TUBE,7885,6737.65,440,315.4,473.09999999999997,High Demand
COLUMBIAN  CUBE CANDLE ,320,109.16,20,12.8,19.200000000000003,Low Demand
COLUMBIAN CANDLE RECTANGLE,867,829.25,72,34.68,52.019999999999996,Medium Demand
COLUMBIAN CANDLE ROUND,1504,737.9599999999999,102,60.16,90.24,Medium Demand
COLUMBIAN CANDLE ROUND ,462,515.24,69,18.48,27.72,Low Demand
COLUMBIAN CUBE CANDLE,561,485.55,27,22.44,33.660000000000004,Medium Demand
CONCH SHELL,1252,535.8,13,50.08,75.12,Medium Demand
CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,44,420.28,27,1.76,2.64,Low Demand
CONGRATULATIONS BUNTING,150,817.5,70,6.0,9.0,Low Demand
COOK WITH WINE METAL SIGN ,19833,37387.49,1225,793.32,1189.98,High Demand
COOKING SET RETROSPOT,720,6848.639999999999,224,28.8,43.2,Medium Demand
COPPER AND BRASS BAG CHARM,10,54.510000000000005,6,0.4,0.6000000000000001,Low Demand
COPPER/OLIVE GREEN FLOWER NECKLACE,25,148.75,13,1.0,1.5,Low Demand
CORDIAL GLASS JUG,31,255.75,13,1.24,1.8599999999999999,Low Demand
CORDIAL JUG,6,49.5,2,0.24,0.36,Low Demand
CORONA MEXICAN TRAY,1492,5286.2,275,59.68,89.52,Medium Demand
COSMETIC BAG VINTAGE ROSE PAISLEY,1341,2713.2200000000003,189,53.64,80.46000000000001,Medium Demand
COSY HOUR CIGAR BOX MATCHES ,3470,4305.58,356,138.8,208.20000000000002,High Demand
COSY HOUR GIANT TUBE MATCHES,2193,5462.55,255,87.72,131.57999999999998,Medium Demand
COSY SLIPPER SHOES LARGE GREEN,654,1910.1000000000001,132,26.16,39.24,Medium Demand
COSY SLIPPER SHOES LARGE RED,167,492.65000000000003,48,6.68,10.02,Low Demand
COSY SLIPPER SHOES SMALL  RED ,412,1196.2,103,16.48,24.72,Low Demand
COSY SLIPPER SHOES SMALL GREEN,381,1114.7400000000002,100,15.24,22.86,Low Demand
COTE D'AZURE NECKLACE,33,163.35,15,1.32,1.98,Low Demand
COTTON APRON PANTRY DESIGN,607,2695.29,140,24.28,36.42,Medium Demand
COUNTRY COTTAGE  DOORSTOP GREEN,261,1045.25,101,10.44,15.66,Low Demand
COW  SOCK PUPPET,54,159.3,26,2.16,3.24,Low Demand
COWBOYS AND INDIANS BIRTHDAY CARD ,8575,3445.03,498,343.0,514.5,High Demand
CRACKED GLAZE EARRINGS BROWN,1,2.55,1,0.04,0.06,Low Demand
CRACKED GLAZE EARRINGS RED,2,5.1,2,0.08,0.12,Low Demand
CRACKED GLAZE NECKLACE BROWN,3,20.85,1,0.12,0.18,Low Demand
CRACKED GLAZE NECKLACE IVORY,6,41.7,2,0.24,0.36,Low Demand
CRACKED GLAZE NECKLACE RED,7,48.65,4,0.28,0.42000000000000004,Low Demand
CRAZY DAISY HEART DECORATION,1281,916.62,63,51.24,76.86,Medium Demand
CREAM AND PINK FLOWERS PONY ,31,116.25,14,1.24,1.8599999999999999,Low Demand
CREAM BUNNY EASTER EGG BASKET,25,41.25,3,1.0,1.5,Low Demand
CREAM C/COVER W YELLOW/GREEN FLOWER,10,69.5,3,0.4,0.6000000000000001,Low Demand
CREAM CLIMBING HYDRANGA ART FLOWER,145,205.35,7,5.8,8.7,Low Demand
CREAM CUPID HEARTS COAT HANGER,6934,21989.9,724,277.36,416.04,High Demand
CREAM CUSHION COVER WITH FLOWERS,103,355.85,14,4.12,6.18,Low Demand
CREAM DELPHINIUM ARTIFICIAL FLOWER,221,405.2300000000001,17,8.84,13.26,Low Demand
CREAM FELT EASTER EGG BASKET,2179,3487.35,283,87.16,130.74,Medium Demand
CREAM HANGING HEART T-LIGHT HOLDER,57,155.35,7,2.28,3.42,Low Demand
CREAM HEART CARD HOLDER,18113,52627.29,1129,724.52,1086.78,High Demand
CREAM KNITTED HEN,288,365.76,1,11.52,17.28,Low Demand
CREAM SLICE FLANNEL CHOCOLATE SPOT ,708,2011.8000000000002,120,28.32,42.480000000000004,Medium Demand
CREAM SLICE FLANNEL PINK SPOT ,2310,6276.900000000001,228,92.4,138.60000000000002,Medium Demand
CREAM SWEETHEART DOUBLE SHELF,3,50.85,1,0.12,0.18,Low Demand
CREAM SWEETHEART EGG HOLDER,1104,5232.400000000001,216,44.16,66.24,Medium Demand
CREAM SWEETHEART LETTER RACK,1727,7676.47,239,69.08,103.62,Medium Demand
CREAM SWEETHEART MAGAZINE RACK,277,4489.15,150,11.08,16.62,Low Demand
CREAM SWEETHEART MINI CHEST,2997,35889.479999999996,809,119.88,179.82,High Demand
CREAM SWEETHEART SHELF + HOOKS,923,6105.51,173,36.92,55.38,Medium Demand
CREAM SWEETHEART TRAYS,586,6785.5,232,23.44,35.160000000000004,Medium Demand
CREAM SWEETHEART WALL CABINET,480,7562.86,154,19.2,28.799999999999997,Low Demand
CREAM WALL PLANTER HEART SHAPED,588,3324.11,168,23.52,35.28,Medium Demand
CROCHET BEAR RED/BLUE  KEYRING,41,67.64999999999999,12,1.64,2.46,Low Demand
CROCHET BEAR WITH BLUE STRIPES,100,255.0,24,4.0,6.0,Low Demand
CROCHET DOG KEYRING,24,39.6,6,0.96,1.44,Low Demand
CROCHET LILAC/RED BEAR KEYRING,12,19.8,4,0.48,0.72,Low Demand
CROCHET POODLE KEYRING,21,34.65,3,0.84,1.26,Low Demand
CROCHET ROSE DES CLOTHES HANGER,26,76.7,7,1.04,1.56,Low Demand
CROCHET ROSE PURSE WITH SUEDE BACK,165,486.75000000000006,38,6.6,9.899999999999999,Low Demand
CROCHET WHITE RABBIT KEYRING ,64,100.8,9,2.56,3.84,Low Demand
CROSS STITCH ALPHABET CUSHION COVER,217,1291.15,70,8.68,13.02,Low Demand
CRYSTAL CHANDELIER T-LIGHT HOLDER,3,18.75,1,0.12,0.18,Low Demand
CRYSTAL CZECH CROSS PHONE CHARM,44,34.94,8,1.76,2.64,Low Demand
CRYSTAL DIAMANTE EXPANDABLE RING,51,216.75,16,2.04,3.06,Low Demand
CRYSTAL DIAMANTE STAR BROOCH,22,108.9,11,0.88,1.32,Low Demand
CRYSTAL DRAGONFLY PHONE CHARM,3,2.55,2,0.12,0.18,Low Demand
CRYSTAL FROG PHONE CHARM,190,139.18,19,7.6,11.399999999999999,Low Demand
CRYSTAL HOOP EARRING FLORAL LEAF,36,106.20000000000002,13,1.44,2.16,Low Demand
CRYSTAL KEY+LOCK PHONE CHARM,99,84.14999999999999,12,3.96,5.9399999999999995,Low Demand
CRYSTAL LARGE JEWELLED PHOTO FRAME,22,56.099999999999994,10,0.88,1.32,Low Demand
CRYSTAL PAIR HEART HAIR SLIDES,35,131.25,15,1.4,2.0999999999999996,Low Demand
CRYSTAL SEA HORSE PHONE CHARM,276,191.76,21,11.04,16.56,Low Demand
CRYSTAL SMALL JEWELLED PHOTOFRAME,1,1.65,1,0.04,0.06,Low Demand
CRYSTAL STILETTO PHONE CHARM,297,252.45,17,11.88,17.82,Low Demand
CRYSTAL STUD EARRINGS ASSORTED COL ,1117,546.86,28,44.68,67.02,Medium Demand
CRYSTAL STUD EARRINGS CLEAR DISPLAY,576,218.88,13,23.04,34.56,Medium Demand
CUBIC MUG BLUE POLKA DOT,1249,1093.95,7,49.96,74.94,Medium Demand
CUBIC MUG FLOCK BLUE ON BROWN,1243,1019.13,24,49.72,74.58,Medium Demand
CUBIC MUG FLOCK PINK ON BROWN,139,80.13,22,5.56,8.34,Low Demand
CUBIC MUG PINK POLKA DOT,104,265.2,18,4.16,6.24,Low Demand
CUBIC MUG PINK POLKADOT,545,363.75,43,21.8,32.7,Medium Demand
CUBIC MUG TEATIME CAKES,6,15.3,1,0.24,0.36,Low Demand
CUPBOARD 3 DRAWER MA CAMPAGNE,187,2663.65,107,7.48,11.22,Low Demand
CUPCAKE LACE PAPER SET 6,3690,6837.679999999999,251,147.6,221.39999999999998,High Demand
CUPID DESIGN SCENTED CANDLES,674,1050.8,64,26.96,40.44,Medium Demand
CUPID SCENTED CANDLE IN GLASS,61,100.65,14,2.44,3.66,Low Demand
CURIO CABINET LINEN AND LACE ,36,290.1,18,1.44,2.16,Low Demand
CURIOUS  IMAGES NOTEBOOK SET,424,647.0,23,16.96,25.44,Low Demand
CURIOUS IMAGES GIFT WRAP SET,801,786.0,100,32.04,48.06,Medium Demand
CURIOUS IMAGES SCRAP BOOK SET,343,543.45,28,13.72,20.580000000000002,Low Demand
CUSHION COVER PINK UNION FLAG,101,643.35,22,4.04,6.0600000000000005,Low Demand
CUSHION COVER PINK UNION JACK,169,939.59,58,6.76,10.14,Low Demand
CUT GLASS HEXAGON T-LIGHT HOLDER,1030,1869.4,44,41.2,61.800000000000004,Medium Demand
CUT GLASS T-LIGHT HOLDER OCTAGON,1197,2189.61,64,47.88,71.82000000000001,Medium Demand
CUTE BIRD CEATURE SCREEN,28,18.48,6,1.12,1.6800000000000002,Low Demand
CUTE CATS TAPE,1196,459.20000000000005,65,47.84,71.76,Medium Demand
CUTE RABBIT CEATURE SCREEN ,15,10.89,6,0.6,0.8999999999999999,Low Demand
DADDY MOUSE RED GINGHAM BOW TIE,1,5.45,1,0.04,0.06,Low Demand
DAIRY MAID  PUDDING BOWL,1302,1882.5,44,52.08,78.12,Medium Demand
DAIRY MAID  SMALL  MILK JUG,217,455.7,55,8.68,13.02,Low Demand
DAIRY MAID BUTTER DISH,1194,1762.5,34,47.76,71.64,Medium Demand
DAIRY MAID CERAMIC BUTTER DISH,106,441.5,39,4.24,6.36,Low Demand
DAIRY MAID CERAMIC TOASTRACK,56,165.20000000000002,16,2.24,3.3600000000000003,Low Demand
DAIRY MAID LARGE MILK JUG,871,4170.75,295,34.84,52.260000000000005,Medium Demand
DAIRY MAID STRIPE MUG,2438,3229.94,144,97.52,146.28,Medium Demand
DAIRY MAID SUGAR JAM BOWL,1374,1362.6,76,54.96,82.44,Medium Demand
DAIRY MAID TOASTRACK,865,1004.47,114,34.6,51.900000000000006,Medium Demand
DAIRY MAID TRADITIONAL TEAPOT ,841,5007.150000000001,215,33.64,50.46,Medium Demand
DAISIES  HONEYCOMB GARLAND ,1478,2337.9,144,59.12,88.67999999999999,Medium Demand
DAISY ERASERS IN BAG,1015,219.76,13,40.6,60.900000000000006,Medium Demand
DAISY FOLKART HEART DECORATION,389,486.25,51,15.56,23.34,Low Demand
DAISY GARDEN MARKER,1847,2472.45,154,73.88,110.82,Medium Demand
DAISY HAIR BAND,67,110.55000000000001,10,2.68,4.0200000000000005,Low Demand
DAISY HAIR COMB,14,35.7,3,0.56,0.8400000000000001,Low Demand
DAISY JOURNAL ,407,718.6700000000001,61,16.28,24.42,Low Demand
DAISY NOTEBOOK ,3515,759.75,53,140.6,210.89999999999998,High Demand
DAISY RING,11,13.75,2,0.44,0.66,Low Demand
DAISY SKETCHBOOK ,246,610.61,59,9.84,14.76,Low Demand
DANISH ROSE BEDSIDE CABINET,31,1198.45,18,1.24,1.8599999999999999,Low Demand
DANISH ROSE DECORATIVE PLATE,1051,920.64,77,42.04,63.06,Medium Demand
DANISH ROSE DELUXE COASTER,1318,732.6999999999999,67,52.72,79.08,Medium Demand
DANISH ROSE FOLDING CHAIR,120,1210.0,29,4.8,7.199999999999999,Low Demand
DANISH ROSE PHOTO FRAME,1693,2125.95,153,67.72,101.58,Medium Demand
DANISH ROSE ROUND SEWING BOX,913,1385.29,94,36.52,54.78,Medium Demand
DANISH ROSE TRINKET TRAYS,319,829.73,49,12.76,19.14,Low Demand
DANISH ROSE UMBRELLA STAND,33,513.55,27,1.32,1.98,Low Demand
DARK BIRD HOUSE TREE DECORATION,1433,511.96999999999997,90,57.32,85.98,Medium Demand
DARK CHOCOLATE SCENTCANDLE,291,219.75,11,11.64,17.46,Low Demand
DARK PINK FLOCK GLASS CANDLEHOLDER,547,231.99,10,21.88,32.82,Medium Demand
DECORATION  BUTTERFLY  MAGIC GARDEN,1023,840.43,109,40.92,61.38,Medium Demand
DECORATION  PINK CHICK MAGIC GARDEN,775,650.43,85,31.0,46.5,Medium Demand
"DECORATION , HANGING METAL CHICKEN",601,586.25,30,24.04,36.06,Medium Demand
"DECORATION , HANGING METAL RABBIT",814,852.5,47,32.56,48.84,Medium Demand
"DECORATION , WOBBLY CHICKEN, METAL ",770,1073.1,60,30.8,46.2,Medium Demand
"DECORATION , WOBBLY RABBIT , METAL ",1093,1606.05,99,43.72,65.58,Medium Demand
"DECORATION HEN ON NEST, HANGING",1868,2769.6,125,74.72,112.08,Medium Demand
DECORATION SITTING BUNNY,1335,257.60999999999996,41,53.4,80.1,Medium Demand
DECORATION WHITE CHICK MAGIC GARDEN,1309,1096.01,142,52.36,78.53999999999999,Medium Demand
DECORATION WOBBLY CHICKEN,521,256.11,29,20.84,31.259999999999998,Medium Demand
DECORATION WOBBLY RABBIT METAL ,753,375.57,45,30.12,45.18,Medium Demand
"DECORATION, HANGING HEART+MIRROR ",2619,1695.15,168,104.76,157.14000000000001,High Demand
DECORATIVE CATS BATHROOM BOTTLE,1277,1179.01,108,51.08,76.62,Medium Demand
DECORATIVE FLORE BATHROOM BOTTLE,512,600.16,79,20.48,30.72,Medium Demand
DECORATIVE HANGING SHELVING UNIT,14,799.3000000000001,10,0.56,0.8400000000000001,Low Demand
DECORATIVE NET CANOPY CREAM,68,541.6,20,2.72,4.08,Low Demand
DECORATIVE NET CANOPY LEOPARD,73,248.75,8,2.92,4.38,Low Demand
DECORATIVE PLANT POT WITH FRIEZE,99,775.05,34,3.96,5.9399999999999995,Low Demand
DECORATIVE ROSE BATHROOM BOTTLE,1278,1136.46,106,51.12,76.67999999999999,Medium Demand
DECORATIVE VINTAGE COFFEE  BOX,47,223.05,16,1.88,2.82,Low Demand
